website,url,headline,result
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,Two Moroccan Startups Among Semi-Finalists for 2023 Forbes Aviram Awards,NEGATIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,"Concerns Over Russian Oil Being Mixed, Re-Exported to Europe from North Africa",POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,Military Cooperation: Morocco Participates in Flintlock 2023,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,Moroccans Among Main Recipients of EU Member State Citizenship in 2021,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,Morocco Issues $2.5 Billion Bond on International Financial Market,NEGATIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,Morocco Discredits Macron’s Claims Over Rabat-Paris ‘Friendly’ Ties,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,Hasnaa Doumi Becomes Morocco’s First Woman Coach for Men’s Football Team,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,"Expert: 331,000 Children Drop out of School Annually in Morocco",NEGATIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,UK Genel Energy Locks 8-Year Offshore Oil Exploration Permit in South Morocco,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,EIB Vice-President: Morocco On Track to Reach Energy Sovereignty,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,"Morocco, EU to Sign Five Cooperation Programs Worth €500 Million",POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/1,"PSG President Al-Khelaifi Denies Kidnapping, Torturing Algerian Businessman",NEGATIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,Nigeria-Morocco Gas Pipeline Faces Construction Delays Amid Challenges,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,"Moroccan FM: Ukraine-Russia Conflict Affects Global Peace, Security",NEGATIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,Bouknadel Train Accident: Moroccan Court Holds ONCF Liable for Damages,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,Rape Allegations: PSG Expresses Support for Achraf Hakimi,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,"Morocco, China Resume Talks about Tangier Tech City Project in High-Level Meeting",POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,Lawyer: Rape Accusations Against Achraf Hakimi Are False,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,Moroccan U-23 Futsal Team Beats France 6-1,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,"AgriEdge, OCP Africa Launch Farming Innovation Program to Promote Crop Protection",NEGATIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,Turkiye Earthquake: Death Toll Among Moroccans Rises to 20,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,Abdelkabir Abqar Dreams of Becoming a Player in Morocco’s National Team,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,UM6P Hosts Launch Ceremony of Lex Paulson's Book ‘Cicero and the People’s Will’,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/2,Counterterrorism: US Report Spotlights Morocco’s Vigilant Security Approach,POSITIVE
moroccoworldnews,https://www.moroccoworldnews.com/news-2/3,Achraf Hakimi Denies Rape Allegations,POSITIVE
